station_id,longitude,latitude,utc_time,temperature,pressure,humidity,wind_direction,wind_speed,weather
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 16:00:00,-1.7,1028.7,15,215.0,1.6,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 17:00:00,-3.5,1028.4,24,16.0,1.0,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 18:00:00,-3.7,1028.1,27,32.0,1.1,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 19:00:00,-3.9,1027.6,27,21.0,0.9,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 20:00:00,-4.1,1026.7,26,17.0,1.1,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 21:00:00,-4.2,1026.1,28,68.0,0.9,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 22:00:00,-4.0,1025.7,27,329.0,1.1,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-30 23:00:00,-4.7,1025.9,29,28.0,0.7,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 00:00:00,-4.9,1026.1,28,17.0,1.2,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 01:00:00,-3.6,1026.2,28,29.0,1.1,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 02:00:00,-1.7,1025.8,20,73.0,1.2,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 03:00:00,0.4,1025.7,16,236.0,0.5,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 04:00:00,1.5,1024.8,15,93.0,0.9,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 05:00:00,3.4,1023.3,13,182.0,1.3,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 06:00:00,4.7,1022.4,12,255.0,1.6,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 07:00:00,5.7,1021.8,11,301.0,2.0,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 08:00:00,5.7,1022.1,11,311.0,1.9,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 09:00:00,3.8,1023.1,14,55.0,1.7,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 10:00:00,0.4,1024.0,19,292.0,0.5,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 11:00:00,-2.2,1024.9,34,999017.0,0.2,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 12:00:00,-2.1,1025.9,28,37.0,1.7,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 13:00:00,-1.3,1027.0,23,4.0,1.6,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 14:00:00,-3.0,1028.2,28,15.0,1.1,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 15:00:00,-4.1,1029.5,36,59.0,0.4,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 16:00:00,-4.1,1030.4,29,289.0,0.8,Haze
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 17:00:00,-3.6,1031.1,27,13.0,1.5,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 18:00:00,-4.7,1031.9,30,17.0,0.9,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 19:00:00,-5.8,1032.6,35,31.0,1.3,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 20:00:00,-5.6,1033.3,35,47.0,1.7,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 21:00:00,-4.0,1034.0,26,45.0,2.4,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 22:00:00,-4.6,1034.8,28,44.0,2.7,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-01-31 23:00:00,-4.7,1035.4,27,45.0,3.6,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-02-01 00:00:00,-4.4,1036.6,23,52.0,3.6,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-02-01 01:00:00,-2.9,1037.0,20,42.0,3.2,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-02-01 02:00:00,-1.6,1037.0,17,39.0,4.2,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-02-01 03:00:00,-0.2,1036.4,14,52.0,3.8,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-02-01 04:00:00,0.6,1035.7,13,57.0,3.0,Sunny/clear
shunyi_meo,116.6152777777778,40.126666666666665,2017-02-01 05:00:00,1.8,1034.7,12,41.0,1.3,Sunny/clear
